Id,Test Case Name,Status,Type,Description,Pre Condition,Test Step#,Test Step Description,Test Step Expected Result,Test Case Type,Application Team,Functionality,Assigned To,Priority,Automation Status,Creation Date
TC01_API_Positive_01,Successful Ticket Booking,Not Executed,Automation,"Validate successful booking via /api/tickets/book with valid input (e.g., user_id, event_id, seat_number, payment_info).",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Positive,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,2,Send a valid POST request with all required fields (user_id, event_id, seat_number, payment_info),Request is accepted by the API,Positive,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,3,Verify the API returns HTTP 201 Created,Response status is 201 Created,Positive,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,4,Verify the JSON response contains booking_id, event_details, seat_number, booking_status: 'confirmed',Response contains all required fields with booking_status as 'confirmed',Positive,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
TC02_API_Negative_01,Booking with Missing Required Fields,Not Executed,Automation,"Validate API response when required fields are missing in the POST request (e.g., missing user_id or seat_number).",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,2,Send a POST request missing user_id or seat_number,API should reject the request,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,3,Verify API returns HTTP 400 Bad Request,Response status is 400 Bad Request,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,4,Verify error message specifies missing fields,Error message indicates which required fields are missing,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
TC03_API_Negative_02,Booking with Invalid Data Types,Not Executed,Automation,"Validate API response when invalid data types are provided (e.g., user_id as string instead of integer).",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,2,Send a POST request with user_id as 'abc',API should reject the request,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,3,Verify API returns HTTP 400 Bad Request,Response status is 400 Bad Request,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,4,Verify error message specifies invalid data type,Error message indicates invalid data type,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
TC04_API_Negative_03,Booking with Duplicate Seat,Not Executed,Automation,"Validate API response when booking a seat that is already booked.",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,2,Send a POST request with seat_number already booked,API should reject the request,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,3,Verify API returns HTTP 409 Conflict,Response status is 409 Conflict,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,4,Verify error message specifies seat already booked,Error message indicates seat is already booked,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
TC05_API_Negative_04,Booking with Inactive Event,Not Executed,Automation,"Validate API response when booking a ticket for an inactive event.",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,2,Send a POST request with event_id for inactive event,API should reject the request,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,3,Verify API returns HTTP 404 Not Found,Response status is 404 Not Found,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
,,,,,,4,Verify error message specifies event not found or inactive,Error message indicates event is not found or inactive,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-13
TC06_API_Regression_01,API Endpoint Stability Check,Not Executed,Automation,"Validate /api/tickets/book endpoint remains stable and available after multiple booking requests.",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Regression,Team A,Ticket Booking API,Team A,Medium,Automated,2024-06-13
,,,,,,2,Send multiple valid POST requests in succession,API should handle all requests without crashing,Regression,Team A,Ticket Booking API,Team A,Medium,Automated,2024-06-13
,,,,,,3,Verify no downtime or error spikes,API remains available and responsive,Regression,Team A,Ticket Booking API,Team A,Medium,Automated,2024-06-13
TC07_API_Regression_02,Data Integrity After Booking,Not Executed,Automation,"Validate that booking data is correctly stored and retrievable after booking.",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Regression,Team A,Ticket Booking API,Team A,Medium,Automated,2024-06-13
,,,,,,2,Send a valid POST request to book a ticket,Booking is successful,Regression,Team A,Ticket Booking API,Team A,Medium,Automated,2024-06-13
,,,,,,3,Query the database for the booking_id,Booking data matches request and response,Regression,Team A,Ticket Booking API,Team A,Medium,Automated,2024-06-13
