Id,Test Case Name,Status,Type,Description,Pre Condition,Test Step#,Test Step Description,Test Step Expected Result,Test Case Type,Application Team,Functionality,Assigned To,Priority,Automation Status,Creation Date
TC01_API_Positive_01,Successful Ticket Booking,Not Executed,Automation,"Validate successful booking via /api/tickets/book with valid input (e.g., user_id, event_id, seat_number, payment_info).",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Positive,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
,,,,,,2,Send a valid POST request with all required fields (user_id, event_id, seat_number, payment_info),Request is accepted by the API,Positive,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
,,,,,,3,Verify the API returns HTTP 201 Created,Response status is 201 Created,Positive,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
,,,,,,4,Verify the JSON response contains booking_id, event_details, seat_number, booking_status: 'confirmed',Response contains all required fields with booking_status as 'confirmed',Positive,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
TC02_API_Negative_01,Ticket Booking with Missing Required Fields,Not Executed,Automation,"Validate error handling when required fields are missing in the POST request (e.g., missing user_id or event_id).",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
,,,,,,2,Send a POST request missing required fields (e.g., missing user_id),API returns HTTP 400 Bad Request,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
,,,,,,3,Verify error message specifies which fields are missing,Response contains clear error message indicating missing fields,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
TC03_API_Negative_02,Ticket Booking with Invalid Data Types,Not Executed,Automation,"Validate error handling when fields have invalid data types (e.g., user_id as string instead of integer).",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
,,,,,,2,Send a POST request with invalid data types for fields,API returns HTTP 400 Bad Request,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
,,,,,,3,Verify error message specifies which fields have invalid types,Response contains clear error message indicating invalid data types,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
TC04_API_Negative_03,Ticket Booking with Duplicate Seat,Not Executed,Automation,"Validate error handling when attempting to book a seat that is already booked.",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
,,,,,,2,Send a POST request for a seat that is already booked,API returns HTTP 409 Conflict,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
,,,,,,3,Verify error message specifies seat is already booked,Response contains clear error message indicating seat is already booked,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
TC05_API_Negative_04,Ticket Booking with Invalid Endpoint,Not Executed,Automation,"Validate error handling when accessing an invalid endpoint (e.g., /api/tickets/bookk).",API endpoint /api/tickets/book is active,1,Open an invalid API endpoint /api/tickets/bookk,API returns HTTP 404 Not Found,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
,,,,,,2,Verify error message specifies endpoint not found,Response contains clear error message indicating endpoint is invalid,Negative,Team A,Ticket Booking API,Team A,High,Automated,2024-06-11
TC06_API_Regression_01,API Stability on Multiple Bookings,Not Executed,Automation,"Validate API stability by booking multiple tickets in succession with valid data.",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Regression,Team A,Ticket Booking API,Team A,Medium,Automated,2024-06-11
,,,,,,2,Send multiple valid POST requests for different seats,All requests are processed successfully,Regression,Team A,Ticket Booking API,Team A,Medium,Automated,2024-06-11
,,,,,,3,Verify all responses are HTTP 201 Created,All responses are 201 Created,Regression,Team A,Ticket Booking API,Team A,Medium,Automated,2024-06-11
TC07_API_Regression_02,API Response Time Under Load,Not Executed,Automation,"Validate API response time remains acceptable under load (e.g., 100 concurrent booking requests).",API endpoint /api/tickets/book is active,1,Open the API endpoint /api/tickets/book,API endpoint should be accessible,Regression,Team A,Ticket Booking API,Team A,Medium,Automated,2024-06-11
,,,,,,2,Send 100 concurrent valid POST requests,API handles load without significant delay,Regression,Team A,Ticket Booking API,Team A,Medium,Automated,2024-06-11
,,,,,,3,Verify average response time is within SLA (e.g., <2 seconds),Average response time is within acceptable limits,Regression,Team A,Ticket Booking API,Team A,Medium,Automated,2024-06-11
